category,text
tech,tv future hand viewer home theatre system plasma highdefinition tv digital video recorder move living room way people watch tv radically different five year time accord expert panel gather annual consumer electronics show las vega discuss new technology impact one favourite pastimes u lead trend programme content delivered viewer via home network cable satellite telecom company broadband service provider front room portable device one talkedabout technology ces digital personal video recorder dvr pvr settop box like u tivo uk sky system allow people record store play pause forward wind tv programme want essentially technology allow much personalise tv also builtin highdefinition tv set big business japan u slow take europe lack highdefinition program people forward wind advert also forget abide network channel schedule put together alacarte entertainment u network cable satellite company worry mean term advertise revenue well brand identity viewer loyalty channel although u lead technology moment also concern raise europe particularly grow uptake service like sky happens today see nine month year time uk adam hume bbc broadcast futurologist tell bbc news website like bbc issue lose advertising revenue yet press issue moment commercial uk broadcaster brand loyalty important everyone talk content brand rather network brand say tim hanlon brand communication firm starcom mediavest reality broadband connection anybody producer content add challenge hard promote programme much choice mean say stacey jolna senior vice president tv guide tv group way people find content want watch simplify tv viewer mean network u term channel could take leaf google book search engine future instead scheduler help people find want watch kind channel model might work young ipod generation use take control gadget play might suit everyone panel recognise old generation comfortable familiar schedule channel brand know get perhaps want much choice put hand mr hanlon suggest end kid diaper push button already everything possible available say mr hanlon ultimately consumer tell market want new gadget technology showcased ce many enhance tvwatching experience highdefinition tv set everywhere many new model lcd liquid crystal display tv launch dvr capability build instead external box one example launch show humax inch lcd tv hour tivo dvr dvd recorder one u big satellite tv company directtv even launch brand dvr show hour record capability instant replay search function set pause rewind tv hour microsoft chief bill gate announce preshow keynote speech partnership tivo call tivotogo mean people play record programme windows pc mobile device reflect increase trend free multimedia people watch want want
business,worldcom bos leave book alone former worldcom bos bernie ebbers accuse oversee bn bn fraud never make accounting decision witness told juror david myers make comment question defence lawyer argue mr ebbers responsible worldcom problem phone company collapse prosecutor claim loss hide protect firm share mr myers already plead guilty fraud assist prosecutor monday defence lawyer reid weingarten tried distance client allegation cross examination ask mr myers ever know mr ebbers make account decision aware mr myers reply ever know mr ebbers make accounting entry worldcom book mr weingarten press reply witness mr myers admit ordered false accounting entry request former worldcom chief financial officer scott sullivan defence lawyer try paint mr sullivan admit fraud testify later trial mastermind behind worldcom accounting house card mr ebbers team meanwhile look portray affable bos admission pe graduate economist whatever ability mr ebbers transform worldcom relative unknown bn telecom giant investor darling late worldcom problem mount however competition increase telecom boom petered firm finally collapse shareholder lose bn worker lose job mr ebbers trial expect last two month find guilty former ceo face substantial jail sentence firmly declare innocence
sport,tiger wary farrell gamble leicester say rush make bid andy farrell great britain rugby league captain decide switch code anybody else involved process still way away go next stage tiger boss john well tell bbc radio leicester moment still lot unknowns andy farrell least medical situation whoever take go take big big gamble farrell persistent knee problem operation knee five week ago expect another three month leicester saracen believe head list rugby union club interested sign farrell decides move man game move across union well believe would better play back least initially sure could make step league union involve centre say well think england would prefer progress position back row make use rugby league skill within forward jury whether cross divide club balance strike cost gamble option bring readymade replacement
sport,yeading face newcastle fa cup premiership side newcastle united face trip ryman premier league leader yeading fa cup third round game arguably highlight draw potential moneyspinner nonleague yeading beat slough second round conference side exeter city knock doncaster saturday travel old trafford meet holder manchester united january arsenal drawn home stoke chelsea play host scunthorpe nonleague side draw hinckley unite hold brentford goalless draw sunday meet league one leader luton win replay martin allen team griffin park number premiership team face difficult away game championship side weekend january thirdplaced everton visit plymouth liverpool travel burnley crystal palace go sunderland fulham face carling cup semifinalist watford bolton meet ipswich aston villa drawn sheffield unite premiership struggler norwich blackburn west brom away west ham cardiff preston north end respectively southampton visit northampton already beat league two side carling cup earlier season middlesbrough draw away either swindon notts county spur entertain brighton white hart lane arsenal v stoke swindonnotts co v middlesbrough man utd v exeter plymouth v everton leicester v blackpool derby v wigan sunderland v crystal palace wolf v millwall yeading v newcastle hull v colchester tottenham v brighton reading v stockportswansea birmingham v leeds hartlepool v boston milton keynes don v peterborough oldham v man city chelsea v scunthorpe cardiff v blackburn charlton v rochdale west ham v norwich sheff utd v aston villa preston v west brom rotherham v yeovil burnley v liverpool bournemouth v chester coventry v crewe watford v fulham ipswich v bolton portsmouth v gillingham northampton v southampton qpr v nottm forest luton v hinckleybrentford match play weekend january
entertainment,ocean twelve raid box office ocean twelve crime caper sequel star george clooney brad pitt julia roberts go straight number one u box office chart take weekend ticket sale accord studio estimate sequel follow master criminal try pull three major heist across europe knock last week number one national treasure third place wesley snipe blade trinity second take round top five animate fable polar express star tom hank festive comedy christmas kranks ocean twelve box office triumph mark fourthbiggest open december release u three film lord ring trilogy sequel narrowly beat predecessor ocean eleven take open weekend total remake film star frank sinatra rat pack ocean eleven direct oscarwinning director steven soderbergh soderbergh return direct hit sequel reunite clooney pitt robert matt damon andy garcia elliott gould catherine zetajones join allstar cast fun good holiday movie say dan fellman president distribution warner bros however u critic less complimentary project los angeles time label dispirit vanity project milder review new york time dubbed sequel unabashedly trivial
politics,howard hit back mongrel jibe michael howard say claim peter hain tory leader act like attack mongrel show labour rattle opposition upbeat speech party spring conference brighton say labour campaigning tactic prove tory hit home mr hain make claim tory tactic antiterror bill debate something tell someone somewhere little bit rattle mr howard say mr hain leader common tell bbc radio four today programme mr howard stance government antiterrorism legislation put country risk accuse tory leader behave like attack mongrel play opposition opposition sake mr howard tell party labour would anything say anything claim anything cling office cost far year compare fagin shylock fly pig morning peter hain even call mongrel know something tell someone somewhere little bit rattle environment secretary margaret beckett reject mr howard comment tell radio pm programme labour rattle real duty try get people focus michael howard record proposal try put forward country also many example see believe really poor judgement behalf mr howard say tory policy school tax immigration crime strike chord voter since begin year election year make political weather tell party conference mr howard deny play politics raise case margaret dixon whose operation cancel seven time grabbed headline party two week ago hit back labour claim use mrs dixon human shield human shield mr blair human mr howard say party plan immigration quota also focus much medium coverage racist common sense pledge clean hospital well school discipline promise get rid political correctness national curriculum give everyone chance decent state education come ordinary family teenage michael howard apply cambridge today gordon brown would love stress party commitment cut tax red tape increase basic state pension line earnings finish personal appeal party activist go win next election one day able tell child grandchildren tell mine bit played part help win famous election election transform country well labour election coordinator alan milburn say michael howard speech today confirm always say strategy opportunism forward vision country reference appearance mr howard family conference stage mr milburn say michael howard perfectly entitle pose family today hard work family across britain damage plan cut bn public spending
politics,blair prepares name poll date tony blair likely name may election day parliament return easter break bbc political editor learn andrew marr say mr blair ask queen april dissolve parliament end week mr blair far resist call name day party step campaign recently down street would draw claim say election time matter prime minister number spokeswoman would say announce election want announce election move signal frantic week westminster government likely try get key legislation parliament government need finance bill cover budget plan pass common close business end session april also seek push serious organise crime bill id card bill mr marr say wednesday today programme almost nobody senior level inside government parliament expect election call april soon common back short easter recess tony blair whip palace asks queen dissolve parliament go labour government officially june hold general election recent year government favour fouryear term
sport,henman hop end dubai third seed tim henman slump straight set defeat raininterrupted dubai open quarterfinal ivan ljubicic croatian eighth seed book place last four victory british number one henman look course level match go second set progress halt rain intervene ljubicic hit back break seal fourth straight win henman earlier day spanish fifth seed tommy robredo secure semifinal place beat nicolas kiefer germany afterwards henman leave curse weather umpire seven break rain match incredibly frustrate henman say raining umpire take control keep tell u play till end game rain come score irrelevant frustrate happy form expect desert
sport,wilkinson fit face edinburgh england captain jonny wilkinson make longawaited return injury edinburgh saturday wilkinson play since injure bicep october take part fullcontact train newcastle falcon wednesday yearold flyhalf start saturday heineken cup match murrayfield bench newcastle director rugby rob andrew say fine hope get game stage yearold miss england autumn international aggravate haematoma upper right arm saracen subsequently replace england captain fullback jason robinson sale charlie hodgson take number shirt international canada south africa australia wilkinson year disrupt injury muscle problem follow eight month sideline shoulder injury sustain world cup final
entertainment,last star war child sixth final star war movie may suitable young child filmmaker george lucas say told u tv show minute revenge sith would darkest violent series think would take five sixyearold tell cbs programme air sunday lucas predict film would get u rating advise parent scene may unsuitable unders open uk u may say expect film would classify pg roughly equivalent british rating five previous star war film carry less restrictive pg parental guidance rating u uk pass u suitable exception attack clone get pg rating revenge sith third prequel original star war film chronicle transformation heroic anakin skywalker evil darth vader travel helllike planet compose erupt volcano melt lava go watch make pact devil lucas say film much dark emotional much tragedy
